model,indicators,fold,validation_records,AP,recall,precision,specificity,balanced_accuracy,TN,FP,FN,TP
reference,False,1,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
reference,True,1,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
logistic,False,1,251,0.11823108861023526,0.17647058823529413,0.1,0.8846153846153846,0.5305429864253394,207,27,14,3
logistic,True,1,251,0.1297678373281398,0.23529411764705882,0.15384615384615385,0.905982905982906,0.5706385118149824,212,22,13,4
tree,False,1,251,0.10559790739233023,0.5882352941176471,0.1388888888888889,0.7350427350427351,0.6616390145801911,172,62,7,10
tree,True,1,251,0.10559790739233023,0.5882352941176471,0.1388888888888889,0.7350427350427351,0.6616390145801911,172,62,7,10
reference,False,2,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
reference,True,2,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
logistic,False,2,251,0.149059667807803,0.17647058823529413,0.1111111111111111,0.8974358974358975,0.5369532428355958,210,24,14,3
logistic,True,2,251,0.1516644756483354,0.29411764705882354,0.18518518518518517,0.905982905982906,0.6000502765208647,212,22,12,5
tree,False,2,251,0.10230700222010129,0.5882352941176471,0.11627906976744186,0.6752136752136753,0.6317244846656611,158,76,7,10
tree,True,2,251,0.10230700222010129,0.5882352941176471,0.11627906976744186,0.6752136752136753,0.6317244846656611,158,76,7,10
reference,False,3,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
reference,True,3,251,0.06772908366533864,0.0,,1.0,0.5,234,0,17,0
logistic,False,3,251,0.12798318543033105,0.23529411764705882,0.14285714285714285,0.8974358974358975,0.5663650075414781,210,24,13,4
logistic,True,3,251,0.10562642634504309,0.17647058823529413,0.09375,0.8760683760683761,0.5262694821518351,205,29,14,3
tree,False,3,251,0.09403984077544045,0.47058823529411764,0.12903225806451613,0.7692307692307693,0.6199095022624435,180,54,9,8
tree,True,3,251,0.09403984077544045,0.47058823529411764,0.12903225806451613,0.7692307692307693,0.6199095022624435,180,54,9,8
reference,False,4,250,0.064,0.0,,1.0,0.5,234,0,16,0
reference,True,4,250,0.064,0.0,,1.0,0.5,234,0,16,0
logistic,False,4,250,0.15937811457728723,0.3125,0.16129032258064516,0.8888888888888888,0.6006944444444444,208,26,11,5
logistic,True,4,250,0.1579895101853515,0.25,0.15384615384615385,0.905982905982906,0.5779914529914529,212,22,12,4
tree,False,4,250,0.09141567010386817,0.5,0.08080808080808081,0.6111111111111112,0.5555555555555556,143,91,8,8
tree,True,4,250,0.09141567010386817,0.5,0.08080808080808081,0.6111111111111112,0.5555555555555556,143,91,8,8
reference,False,5,250,0.064,0.0,,1.0,0.5,234,0,16,0
reference,True,5,250,0.064,0.0,,1.0,0.5,234,0,16,0
logistic,False,5,250,0.09233876451613568,0.1875,0.11538461538461539,0.9017094017094017,0.5446047008547008,211,23,13,3
logistic,True,5,250,0.09567462422217161,0.1875,0.12,0.905982905982906,0.5467414529914529,212,22,13,3
tree,False,5,250,0.14243644636984137,0.75,0.13636363636363635,0.6752136752136753,0.7126068376068376,158,76,4,12
tree,True,5,250,0.14234257903567366,0.75,0.13636363636363635,0.6752136752136753,0.7126068376068376,158,76,4,12
