model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
tree,False,1,0.2,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,False,2,0.2,0.8235294117647058,0.08235294117647059,156,3,0.3333333333333333,0.5784313725490196,14,78,170
tree,False,3,0.2,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,False,4,0.2,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,False,5,0.2,0.75,0.13043478260869565,80,4,0.6581196581196581,0.704059829059829,12,154,92
tree,False,1,0.5,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,False,2,0.5,0.5882352941176471,0.11627906976744186,76,7,0.6752136752136753,0.6317244846656611,10,158,86
tree,False,3,0.5,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,False,4,0.5,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,False,5,0.5,0.75,0.13636363636363635,76,4,0.6752136752136753,0.7126068376068376,12,158,88
tree,False,1,0.8,0.0,,0,17,1.0,0.5,0,234,0
tree,False,2,0.8,0.11764705882352941,0.16666666666666666,10,15,0.9572649572649573,0.5374560080442433,2,224,12
tree,False,3,0.8,0.17647058823529413,0.11538461538461539,23,14,0.9017094017094017,0.5390899949723479,3,211,26
tree,False,4,0.8,0.3125,0.14705882352941177,29,11,0.8760683760683761,0.594284188034188,5,205,34
tree,False,5,0.8,0.4375,0.1891891891891892,30,9,0.8717948717948718,0.6546474358974359,7,204,37
tree,True,1,0.2,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,True,2,0.2,0.8235294117647058,0.08235294117647059,156,3,0.3333333333333333,0.5784313725490196,14,78,170
tree,True,3,0.2,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,True,4,0.2,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,True,5,0.2,0.75,0.12631578947368421,83,4,0.6452991452991453,0.6976495726495726,12,151,95
