model,indicators,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
tree,False,0.2,0.6265060240963856,0.10505050505050505,443,31,0.6213675213675214,0.6239367727319535,52,727,495
tree,False,0.5,0.5783132530120482,0.11793611793611794,359,35,0.6931623931623931,0.6357378230872206,48,811,407
tree,False,0.8,0.20481927710843373,0.1559633027522936,92,66,0.9213675213675213,0.5630933992379775,17,1078,109
tree,True,0.2,0.6265060240963856,0.10441767068273092,446,31,0.6188034188034188,0.6226547214499022,52,724,498
tree,True,0.5,0.5783132530120482,0.11793611793611794,359,35,0.6931623931623931,0.6357378230872206,48,811,407
tree,True,0.8,0.20481927710843373,0.1559633027522936,92,66,0.9213675213675213,0.5630933992379775,17,1078,109
small_forest,False,0.2,0.9759036144578314,0.07397260273972603,1014,2,0.13333333333333333,0.5546184738955824,81,156,1095
small_forest,False,0.5,0.1927710843373494,0.17582417582417584,75,67,0.9358974358974359,0.5643342601173926,16,1095,91
small_forest,False,0.8,0.0,,0,83,1.0,0.5,0,1170,0
small_forest,True,0.2,0.9759036144578314,0.07068062827225131,1065,2,0.08974358974358974,0.5328236021007106,81,105,1146
small_forest,True,0.5,0.27710843373493976,0.25274725274725274,68,60,0.9418803418803419,0.6094943878076409,23,1102,91
small_forest,True,0.8,0.0,,0,83,1.0,0.5,0,1170,0
shallow_boosting,False,0.2,0.39759036144578314,0.16923076923076924,162,50,0.8615384615384616,0.6295644114921224,33,1008,195
shallow_boosting,False,0.5,0.14457831325301204,0.3,28,71,0.976068376068376,0.560323344660694,12,1142,40
shallow_boosting,False,0.8,0.0,0.0,3,83,0.9974358974358974,0.4987179487179487,0,1167,3
shallow_boosting,True,0.2,0.39759036144578314,0.16923076923076924,162,50,0.8615384615384616,0.6295644114921224,33,1008,195
shallow_boosting,True,0.5,0.14457831325301204,0.3,28,71,0.976068376068376,0.560323344660694,12,1142,40
shallow_boosting,True,0.8,0.0,0.0,3,83,0.9974358974358974,0.4987179487179487,0,1167,3
