model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
small_forest,False,1,0.25,0.8823529411764706,0.0847457627118644,162,2,0.3076923076923077,0.5950226244343891,15,72,177
small_forest,False,2,0.25,1.0,0.09340659340659341,165,0,0.2948717948717949,0.6474358974358975,17,69,182
small_forest,False,3,0.25,0.8235294117647058,0.08139534883720931,158,3,0.3247863247863248,0.5741578682755153,14,76,172
small_forest,False,4,0.25,0.875,0.08536585365853659,150,2,0.358974358974359,0.6169871794871795,14,84,164
small_forest,False,5,0.25,1.0,0.08163265306122448,180,0,0.23076923076923078,0.6153846153846154,16,54,196
small_forest,False,1,0.3,0.8823529411764706,0.10869565217391304,123,2,0.47435897435897434,0.6783559577677225,15,111,138
small_forest,False,2,0.3,0.9411764705882353,0.10666666666666667,134,1,0.42735042735042733,0.6842634489693313,16,100,150
small_forest,False,3,0.3,0.8235294117647058,0.11023622047244094,113,3,0.5170940170940171,0.6703117144293615,14,121,127
small_forest,False,4,0.3,0.875,0.11965811965811966,103,2,0.5598290598290598,0.7174145299145299,14,131,117
small_forest,False,5,0.3,0.9375,0.10869565217391304,123,1,0.47435897435897434,0.7059294871794872,15,111,138
small_forest,False,1,0.35,0.7647058823529411,0.13,87,4,0.6282051282051282,0.6964555052790347,13,147,100
small_forest,False,2,0.35,0.8235294117647058,0.14432989690721648,83,3,0.6452991452991453,0.7344142785319256,14,151,97
small_forest,False,3,0.35,0.6470588235294118,0.12643678160919541,76,6,0.6752136752136753,0.6611362493715436,11,158,87
small_forest,False,4,0.35,0.75,0.16666666666666666,60,4,0.7435897435897436,0.7467948717948718,12,174,72
small_forest,False,5,0.35,0.9375,0.15625,81,1,0.6538461538461539,0.7956730769230769,15,153,96
small_forest,False,1,0.4,0.6470588235294118,0.16417910447761194,56,6,0.7606837606837606,0.7038712921065862,11,178,67
small_forest,False,2,0.4,0.5882352941176471,0.16393442622950818,51,7,0.782051282051282,0.6851432880844646,10,183,61
small_forest,False,3,0.4,0.5294117647058824,0.14285714285714285,54,8,0.7692307692307693,0.6493212669683258,9,180,63
small_forest,False,4,0.4,0.5625,0.2,36,7,0.8461538461538461,0.7043269230769231,9,198,45
small_forest,False,5,0.4,0.5625,0.15,51,7,0.782051282051282,0.672275641025641,9,183,60
small_forest,False,1,0.45,0.4117647058823529,0.1891891891891892,30,10,0.8717948717948718,0.6417797888386123,7,204,37
small_forest,False,2,0.45,0.4117647058823529,0.1891891891891892,30,10,0.8717948717948718,0.6417797888386123,7,204,37
small_forest,False,3,0.45,0.29411764705882354,0.1111111111111111,40,12,0.8290598290598291,0.5615887380593263,5,194,45
small_forest,False,4,0.45,0.375,0.25,18,10,0.9230769230769231,0.6490384615384616,6,216,24
small_forest,False,5,0.45,0.25,0.15384615384615385,22,12,0.905982905982906,0.5779914529914529,4,212,26
small_forest,True,1,0.25,0.8823529411764706,0.07692307692307693,180,2,0.23076923076923078,0.5565610859728507,15,54,195
small_forest,True,2,0.25,1.0,0.08629441624365482,180,0,0.23076923076923078,0.6153846153846154,17,54,197
small_forest,True,3,0.25,0.8823529411764706,0.08379888268156424,164,2,0.29914529914529914,0.5907491201608849,15,70,179
small_forest,True,4,0.25,0.875,0.07865168539325842,164,2,0.29914529914529914,0.5870726495726496,14,70,178
small_forest,True,5,0.25,0.9375,0.075,185,1,0.2094017094017094,0.5734508547008547,15,49,200
small_forest,True,1,0.3,0.8235294117647058,0.08536585365853659,150,3,0.358974358974359,0.5912518853695324,14,84,164
small_forest,True,2,0.3,0.9411764705882353,0.10256410256410256,140,1,0.4017094017094017,0.6714429361488186,16,94,156
small_forest,True,3,0.3,0.8235294117647058,0.10852713178294573,115,3,0.5085470085470085,0.6660382101558572,14,119,129
small_forest,True,4,0.3,0.8125,0.10483870967741936,111,3,0.5256410256410257,0.6690705128205128,13,123,124
small_forest,True,5,0.3,0.9375,0.0967741935483871,140,1,0.4017094017094017,0.6696047008547008,15,94,155
small_forest,True,1,0.35,0.8235294117647058,0.12727272727272726,96,3,0.5897435897435898,0.7066365007541477,14,138,110
small_forest,True,2,0.35,0.8235294117647058,0.1346153846153846,90,3,0.6153846153846154,0.7194570135746606,14,144,104
small_forest,True,3,0.35,0.7058823529411765,0.1411764705882353,73,5,0.688034188034188,0.6969582704876822,12,161,85
small_forest,True,4,0.35,0.6875,0.13095238095238096,73,5,0.688034188034188,0.687767094017094,11,161,84
small_forest,True,5,0.35,0.875,0.14,86,2,0.6324786324786325,0.7537393162393162,14,148,100
small_forest,True,1,0.4,0.6470588235294118,0.1506849315068493,62,6,0.7350427350427351,0.6910507792860734,11,172,73
small_forest,True,2,0.4,0.5882352941176471,0.15873015873015872,53,7,0.7735042735042735,0.6808697838109603,10,181,63
small_forest,True,3,0.4,0.35294117647058826,0.1,54,11,0.7692307692307693,0.5610859728506787,6,180,60
small_forest,True,4,0.4,0.5625,0.16666666666666666,45,7,0.8076923076923077,0.6850961538461539,9,189,54
small_forest,True,5,0.4,0.5625,0.14754098360655737,52,7,0.7777777777777778,0.6701388888888888,9,182,61
small_forest,True,1,0.45,0.35294117647058826,0.16666666666666666,30,11,0.8717948717948718,0.6123680241327301,6,204,36
small_forest,True,2,0.45,0.5294117647058824,0.20930232558139536,34,8,0.8547008547008547,0.6920563097033685,9,200,43
small_forest,True,3,0.45,0.29411764705882354,0.1282051282051282,34,12,0.8547008547008547,0.5744092508798391,5,200,39
small_forest,True,4,0.45,0.375,0.2,24,10,0.8974358974358975,0.6362179487179487,6,210,30
small_forest,True,5,0.45,0.375,0.1935483870967742,25,10,0.8931623931623932,0.6340811965811965,6,209,31
shallow_boosting,False,1,0.25,0.29411764705882354,0.16666666666666666,25,12,0.8931623931623932,0.5936400201106083,5,209,30
