model,indicators,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged,detections_vs_tree,false_alarms_vs_tree
small_forest,False,0.25,0.9156626506024096,0.08529741863075196,815,7,0.3034188034188034,0.6095407270106065,76,355,891,28,456
small_forest,False,0.3,0.891566265060241,0.11044776119402985,596,9,0.4905982905982906,0.6910822778292658,74,574,670,26,237
small_forest,False,0.35,0.7831325301204819,0.14380530973451328,387,18,0.6692307692307692,0.7261816496756255,65,783,452,17,28
small_forest,False,0.4,0.5783132530120482,0.16216216216216217,248,35,0.788034188034188,0.6831737205231181,48,922,296,0,-111
small_forest,False,0.45,0.3493975903614458,0.17159763313609466,140,54,0.8803418803418803,0.614869735351663,29,1030,169,-19,-219
small_forest,True,0.25,0.9156626506024096,0.08008429926238145,873,7,0.25384615384615383,0.5847544022242817,76,297,949,28,514
small_forest,True,0.3,0.8674698795180723,0.0989010989010989,656,11,0.4393162393162393,0.6533930594171558,72,514,728,24,297
small_forest,True,0.35,0.7831325301204819,0.13457556935817805,418,18,0.6427350427350428,0.7129337864277623,65,752,483,17,59
small_forest,True,0.4,0.5421686746987951,0.14469453376205788,266,38,0.7726495726495727,0.6574091236741839,45,904,311,-3,-93
small_forest,True,0.45,0.3855421686746988,0.1787709497206704,147,51,0.8743589743589744,0.6299505715168365,32,1023,179,-16,-212
shallow_boosting,False,0.25,0.37349397590361444,0.2108843537414966,116,52,0.9008547008547009,0.6371743383791577,31,1054,147,-17,-243
shallow_boosting,False,0.3,0.3253012048192771,0.23275862068965517,89,56,0.923931623931624,0.6246164143754506,27,1081,116,-21,-270
shallow_boosting,False,0.35,0.26506024096385544,0.24175824175824176,69,61,0.941025641025641,0.6030429409947482,22,1101,91,-26,-290
shallow_boosting,False,0.4,0.18072289156626506,0.22388059701492538,52,68,0.9555555555555556,0.5681392235609103,15,1118,67,-33,-307
shallow_boosting,False,0.45,0.1566265060240964,0.2653061224489796,36,70,0.9692307692307692,0.5629286376274328,13,1134,49,-35,-323
shallow_boosting,True,0.25,0.37349397590361444,0.2108843537414966,116,52,0.9008547008547009,0.6371743383791577,31,1054,147,-17,-243
shallow_boosting,True,0.3,0.3253012048192771,0.23275862068965517,89,56,0.923931623931624,0.6246164143754506,27,1081,116,-21,-270
shallow_boosting,True,0.35,0.26506024096385544,0.24175824175824176,69,61,0.941025641025641,0.6030429409947482,22,1101,91,-26,-290
shallow_boosting,True,0.4,0.18072289156626506,0.22388059701492538,52,68,0.9555555555555556,0.5681392235609103,15,1118,67,-33,-307
shallow_boosting,True,0.45,0.1566265060240964,0.2653061224489796,36,70,0.9692307692307692,0.5629286376274328,13,1134,49,-35,-323
