model,indicators,mean_AP,AP_fold_sd,recall,precision,specificity,balanced_accuracy,TN,FP,FN,TP
reference,False,0.06623745019920318,0.0020425032423300187,0.0,,1.0,0.5,1170,0,83,0
reference,True,0.06623745019920318,0.0020425032423300187,0.0,,1.0,0.5,1170,0,83,0
logistic,False,0.12939816418835842,0.026388809161360386,0.21686746987951808,0.1267605633802817,0.8940170940170941,0.555442281948306,1046,124,65,18
logistic,True,0.1281445747458083,0.027422188031194256,0.2289156626506024,0.13970588235294118,0.9,0.5644578313253013,1053,117,64,19
tree,False,0.10715937337231632,0.020557491877924015,0.5783132530120482,0.11793611793611794,0.6931623931623931,0.6357378230872206,811,359,35,48
tree,True,0.10714059990548278,0.020517225741469965,0.5783132530120482,0.11793611793611794,0.6931623931623931,0.6357378230872206,811,359,35,48
logistic_C0.1,False,0.12904455947889165,0.020930327376661752,0.25301204819277107,0.12280701754385964,0.8717948717948718,0.5624034599938215,1020,150,62,21
logistic_C0.1,True,0.125701598947315,0.023076797781136534,0.24096385542168675,0.12903225806451613,0.8846153846153846,0.5627896200185356,1035,135,63,20
small_forest,False,0.1987374324896569,0.06017234583884285,0.1927710843373494,0.17582417582417584,0.9358974358974359,0.5643342601173926,1095,75,67,16
small_forest,True,0.19188911653967816,0.039086008082522085,0.27710843373493976,0.25274725274725274,0.9418803418803419,0.6094943878076409,1102,68,60,23
shallow_boosting,False,0.2215886773792089,0.04668325705042649,0.14457831325301204,0.3,0.976068376068376,0.560323344660694,1142,28,71,12
shallow_boosting,True,0.2215886773792089,0.04668325705042649,0.14457831325301204,0.3,0.976068376068376,0.560323344660694,1142,28,71,12
