model,indicators,fold,AP,recall,precision,specificity,balanced_accuracy,TN,FP,FN,TP
logistic_C0.1,False,1,0.12456261689896214,0.17647058823529413,0.07894736842105263,0.8504273504273504,0.5134489693313222,199,35,14,3
logistic_C0.1,True,1,0.13204154370621843,0.23529411764705882,0.11428571428571428,0.8675213675213675,0.5514077425842132,203,31,13,4
small_forest,False,1,0.20664979022042967,0.29411764705882354,0.2631578947368421,0.9401709401709402,0.6171442936148819,220,14,12,5
small_forest,True,1,0.1793605216140585,0.35294117647058826,0.2727272727272727,0.9316239316239316,0.64228255404726,218,16,11,6
shallow_boosting,False,1,0.2085969271524174,0.17647058823529413,0.23076923076923078,0.9572649572649573,0.5668677727501257,224,10,14,3
shallow_boosting,True,1,0.2085969271524174,0.17647058823529413,0.23076923076923078,0.9572649572649573,0.5668677727501257,224,10,14,3
logistic_C0.1,False,2,0.1534603360081962,0.35294117647058826,0.1935483870967742,0.8931623931623932,0.6230517848164907,209,25,11,6
logistic_C0.1,True,2,0.15630558148027862,0.29411764705882354,0.18518518518518517,0.905982905982906,0.6000502765208647,212,22,12,5
small_forest,False,2,0.19766967543485248,0.23529411764705882,0.19047619047619047,0.9273504273504274,0.5813222724987431,217,17,13,4
small_forest,True,2,0.2513234345171189,0.4117647058823529,0.3333333333333333,0.9401709401709402,0.6759678230266466,220,14,10,7
shallow_boosting,False,2,0.2723488824904377,0.17647058823529413,0.6,0.9914529914529915,0.5839617898441428,232,2,14,3
shallow_boosting,True,2,0.2723488824904377,0.17647058823529413,0.6,0.9914529914529915,0.5839617898441428,232,2,14,3
logistic_C0.1,False,3,0.1259025553310592,0.17647058823529413,0.09375,0.8760683760683761,0.5262694821518351,205,29,14,3
logistic_C0.1,True,3,0.11182053879549277,0.17647058823529413,0.10344827586206896,0.8888888888888888,0.5326797385620915,208,26,14,3
small_forest,False,3,0.11390853037788222,0.11764705882352941,0.07407407407407407,0.8931623931623932,0.5054047259929613,209,25,15,2
small_forest,True,3,0.14974790076366018,0.17647058823529413,0.14285714285714285,0.9230769230769231,0.5497737556561086,216,18,14,3
shallow_boosting,False,3,0.16046984581470355,0.058823529411764705,0.14285714285714285,0.9743589743589743,0.5165912518853695,228,6,16,1
shallow_boosting,True,3,0.16046984581470355,0.058823529411764705,0.14285714285714285,0.9743589743589743,0.5165912518853695,228,6,16,1
logistic_C0.1,False,4,0.1428437059595542,0.375,0.15789473684210525,0.8632478632478633,0.6191239316239316,202,32,10,6
logistic_C0.1,True,4,0.13280781525065102,0.3125,0.15151515151515152,0.8803418803418803,0.5964209401709402,206,28,11,5
small_forest,False,4,0.2834591198130464,0.25,0.3076923076923077,0.9615384615384616,0.6057692307692308,225,9,12,4
small_forest,True,4,0.20731455695775455,0.3125,0.35714285714285715,0.9615384615384616,0.6370192307692308,225,9,11,5
shallow_boosting,False,4,0.2645990722854562,0.1875,0.42857142857142855,0.9829059829059829,0.5852029914529915,230,4,13,3
shallow_boosting,True,4,0.2645990722854562,0.1875,0.42857142857142855,0.9829059829059829,0.5852029914529915,230,4,13,3
logistic_C0.1,False,5,0.0984535831966864,0.1875,0.09375,0.8760683760683761,0.531784188034188,205,29,13,3
logistic_C0.1,True,5,0.09553251550393414,0.1875,0.0967741935483871,0.8803418803418803,0.5339209401709402,206,28,13,3
small_forest,False,5,0.19200004660207373,0.0625,0.09090909090909091,0.9572649572649573,0.5098824786324787,224,10,15,1
small_forest,True,5,0.17169916884579856,0.125,0.15384615384615385,0.9529914529914529,0.5389957264957265,223,11,14,2
shallow_boosting,False,5,0.2019286591530296,0.125,0.25,0.9743589743589743,0.5496794871794872,228,6,14,2
shallow_boosting,True,5,0.2019286591530296,0.125,0.25,0.9743589743589743,0.5496794871794872,228,6,14,2
