model,indicators,fold,threshold,records,failure_recall,precision,false_alarms,missed_failures,specificity,balanced_accuracy,detected_failures,correct_passes,total_flagged
logistic,False,1,0.2,251,0.17647058823529413,0.07894736842105263,35,14,0.8504273504273504,0.5134489693313222,3,199,38
logistic,False,2,0.2,251,0.4117647058823529,0.2,28,10,0.8803418803418803,0.6460532931121166,7,206,35
logistic,False,3,0.2,251,0.29411764705882354,0.11363636363636363,39,12,0.8333333333333334,0.5637254901960784,5,195,44
logistic,False,4,0.2,250,0.375,0.13043478260869565,40,10,0.8290598290598291,0.6020299145299146,6,194,46
logistic,False,5,0.2,250,0.1875,0.07894736842105263,35,13,0.8504273504273504,0.5189636752136753,3,199,38
logistic,False,1,0.5,251,0.17647058823529413,0.1,27,14,0.8846153846153846,0.5305429864253394,3,207,30
logistic,False,2,0.5,251,0.17647058823529413,0.1111111111111111,24,14,0.8974358974358975,0.5369532428355958,3,210,27
logistic,False,3,0.5,251,0.23529411764705882,0.14285714285714285,24,13,0.8974358974358975,0.5663650075414781,4,210,28
logistic,False,4,0.5,250,0.3125,0.16129032258064516,26,11,0.8888888888888888,0.6006944444444444,5,208,31
logistic,False,5,0.5,250,0.1875,0.11538461538461539,23,13,0.9017094017094017,0.5446047008547008,3,211,26
logistic,False,1,0.8,251,0.17647058823529413,0.13636363636363635,19,14,0.9188034188034188,0.5476370035193564,3,215,22
logistic,False,2,0.8,251,0.17647058823529413,0.15,17,14,0.9273504273504274,0.5519105077928608,3,217,20
logistic,False,3,0.8,251,0.23529411764705882,0.18181818181818182,18,13,0.9230769230769231,0.579185520361991,4,216,22
logistic,False,4,0.8,250,0.25,0.19047619047619047,17,12,0.9273504273504274,0.5886752136752137,4,217,21
logistic,False,5,0.8,250,0.0625,0.05555555555555555,17,15,0.9273504273504274,0.4949252136752137,1,217,18
logistic,True,1,0.2,251,0.29411764705882354,0.1282051282051282,34,12,0.8547008547008547,0.5744092508798391,5,200,39
logistic,True,2,0.2,251,0.35294117647058826,0.15789473684210525,32,11,0.8632478632478633,0.6080945198592258,6,202,38
logistic,True,3,0.2,251,0.23529411764705882,0.0975609756097561,37,13,0.8418803418803419,0.5385872297637003,4,197,41
logistic,True,4,0.2,250,0.3125,0.1282051282051282,34,11,0.8547008547008547,0.5836004273504274,5,200,39
logistic,True,5,0.2,250,0.1875,0.07692307692307693,36,13,0.8461538461538461,0.5168269230769231,3,198,39
logistic,True,1,0.5,251,0.23529411764705882,0.15384615384615385,22,13,0.905982905982906,0.5706385118149824,4,212,26
logistic,True,2,0.5,251,0.29411764705882354,0.18518518518518517,22,12,0.905982905982906,0.6000502765208647,5,212,27
logistic,True,3,0.5,251,0.17647058823529413,0.09375,29,14,0.8760683760683761,0.5262694821518351,3,205,32
logistic,True,4,0.5,250,0.25,0.15384615384615385,22,12,0.905982905982906,0.5779914529914529,4,212,26
logistic,True,5,0.5,250,0.1875,0.12,22,13,0.905982905982906,0.5467414529914529,3,212,25
logistic,True,1,0.8,251,0.17647058823529413,0.15,17,14,0.9273504273504274,0.5519105077928608,3,217,20
logistic,True,2,0.8,251,0.17647058823529413,0.1875,13,14,0.9444444444444444,0.5604575163398693,3,221,16
logistic,True,3,0.8,251,0.11764705882352941,0.10526315789473684,17,15,0.9273504273504274,0.5224987430869784,2,217,19
logistic,True,4,0.8,250,0.25,0.23529411764705882,13,12,0.9444444444444444,0.5972222222222222,4,221,17
logistic,True,5,0.8,250,0.0625,0.058823529411764705,16,15,0.9316239316239316,0.4970619658119658,1,218,17
tree,False,1,0.2,251,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,False,2,0.2,251,0.8235294117647058,0.08235294117647059,156,3,0.3333333333333333,0.5784313725490196,14,78,170
tree,False,3,0.2,251,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,False,4,0.2,250,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,False,5,0.2,250,0.75,0.13043478260869565,80,4,0.6581196581196581,0.704059829059829,12,154,92
tree,False,1,0.5,251,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,False,2,0.5,251,0.5882352941176471,0.11627906976744186,76,7,0.6752136752136753,0.6317244846656611,10,158,86
tree,False,3,0.5,251,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,False,4,0.5,250,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,False,5,0.5,250,0.75,0.13636363636363635,76,4,0.6752136752136753,0.7126068376068376,12,158,88
tree,False,1,0.8,251,0.0,,0,17,1.0,0.5,0,234,0
tree,False,2,0.8,251,0.11764705882352941,0.16666666666666666,10,15,0.9572649572649573,0.5374560080442433,2,224,12
tree,False,3,0.8,251,0.17647058823529413,0.11538461538461539,23,14,0.9017094017094017,0.5390899949723479,3,211,26
tree,False,4,0.8,250,0.3125,0.14705882352941177,29,11,0.8760683760683761,0.594284188034188,5,205,34
tree,False,5,0.8,250,0.4375,0.1891891891891892,30,9,0.8717948717948718,0.6546474358974359,7,204,37
tree,True,1,0.2,251,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,True,2,0.2,251,0.8235294117647058,0.08235294117647059,156,3,0.3333333333333333,0.5784313725490196,14,78,170
tree,True,3,0.2,251,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,True,4,0.2,250,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,True,5,0.2,250,0.75,0.12631578947368421,83,4,0.6452991452991453,0.6976495726495726,12,151,95
tree,True,1,0.5,251,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,True,2,0.5,251,0.5882352941176471,0.11627906976744186,76,7,0.6752136752136753,0.6317244846656611,10,158,86
tree,True,3,0.5,251,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,True,4,0.5,250,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,True,5,0.5,250,0.75,0.13636363636363635,76,4,0.6752136752136753,0.7126068376068376,12,158,88
tree,True,1,0.8,251,0.0,,0,17,1.0,0.5,0,234,0
tree,True,2,0.8,251,0.11764705882352941,0.16666666666666666,10,15,0.9572649572649573,0.5374560080442433,2,224,12
tree,True,3,0.8,251,0.17647058823529413,0.11538461538461539,23,14,0.9017094017094017,0.5390899949723479,3,211,26
tree,True,4,0.8,250,0.3125,0.14705882352941177,29,11,0.8760683760683761,0.594284188034188,5,205,34
tree,True,5,0.8,250,0.4375,0.1891891891891892,30,9,0.8717948717948718,0.6546474358974359,7,204,37
