model,indicators,threshold,records,failure_recall,precision,false_alarms,missed_failures,specificity,balanced_accuracy,detected_failures,correct_passes,total_flagged
logistic,False,0.2,1253,0.2891566265060241,0.11940298507462686,177,59,0.8487179487179487,0.5689372876119864,24,993,201
logistic,False,0.5,1253,0.21686746987951808,0.1267605633802817,124,65,0.8940170940170941,0.555442281948306,18,1046,142
logistic,False,0.8,1253,0.18072289156626506,0.14563106796116504,88,68,0.9247863247863248,0.552754608176295,15,1082,103
logistic,True,0.2,1253,0.27710843373493976,0.11734693877551021,173,60,0.8521367521367521,0.5646225929358459,23,997,196
logistic,True,0.5,1253,0.2289156626506024,0.13970588235294118,117,64,0.9,0.5644578313253013,19,1053,136
logistic,True,0.8,1253,0.1566265060240964,0.14606741573033707,76,70,0.935042735042735,0.5458346205334157,13,1094,89
tree,False,0.2,1253,0.6265060240963856,0.10505050505050505,443,31,0.6213675213675214,0.6239367727319535,52,727,495
tree,False,0.5,1253,0.5783132530120482,0.11793611793611794,359,35,0.6931623931623931,0.6357378230872206,48,811,407
tree,False,0.8,1253,0.20481927710843373,0.1559633027522936,92,66,0.9213675213675213,0.5630933992379775,17,1078,109
tree,True,0.2,1253,0.6265060240963856,0.10441767068273092,446,31,0.6188034188034188,0.6226547214499022,52,724,498
tree,True,0.5,1253,0.5783132530120482,0.11793611793611794,359,35,0.6931623931623931,0.6357378230872206,48,811,407
tree,True,0.8,1253,0.20481927710843373,0.1559633027522936,92,66,0.9213675213675213,0.5630933992379775,17,1078,109
