measurement,observed_development_records,missing_development_records,numeric_input_retained,numeric_exclusion_reason,missingness_flag_retained
measurement_001,1249,4,True,,True
measurement_002,1250,3,True,,True
measurement_003,1242,11,True,,True
measurement_004,1242,11,True,,True
measurement_005,1242,11,True,,True
measurement_006,1242,11,False,constant_observed_in_training,True
measurement_007,1242,11,True,,True
measurement_008,1245,8,True,,True
measurement_009,1251,2,True,,True
measurement_010,1251,2,True,,True
measurement_011,1251,2,True,,True
measurement_012,1251,2,True,,True
measurement_013,1251,2,True,,True
measurement_014,1251,2,False,constant_observed_in_training,True
measurement_015,1251,2,True,,True
measurement_016,1251,2,True,,True
measurement_017,1251,2,True,,True
measurement_018,1251,2,True,,True
measurement_019,1251,2,True,,True
measurement_020,1246,7,True,,True
measurement_021,1253,0,True,,False
measurement_022,1251,2,True,,True
measurement_023,1251,2,True,,True
measurement_024,1251,2,True,,True
measurement_025,1251,2,True,,True
measurement_026,1251,2,True,,True
measurement_027,1251,2,True,,True
measurement_028,1251,2,True,,True
measurement_029,1251,2,True,,True
measurement_030,1251,2,True,,True
measurement_031,1251,2,True,,True
measurement_032,1251,2,True,,True
measurement_033,1253,0,True,,False
measurement_034,1253,0,True,,False
measurement_035,1253,0,True,,False
measurement_036,1253,0,True,,False
measurement_037,1253,0,True,,False
measurement_038,1253,0,True,,False
measurement_039,1253,0,True,,False
measurement_040,1253,0,True,,False
measurement_041,1236,17,True,,True
measurement_042,1236,17,True,,True
measurement_043,1252,1,False,constant_observed_in_training,True
measurement_044,1252,1,True,,True
measurement_045,1252,1,True,,True
measurement_046,1252,1,True,,True
measurement_047,1252,1,True,,True
measurement_048,1252,1,True,,True
measurement_049,1252,1,True,,True
measurement_050,1252,1,False,constant_observed_in_training,True
measurement_051,1252,1,True,,True
measurement_052,1252,1,True,,True
measurement_053,1252,1,False,constant_observed_in_training,True
measurement_054,1250,3,True,,True
measurement_055,1250,3,True,,True
measurement_056,1250,3,True,,True
measurement_057,1250,3,True,,True
measurement_058,1250,3,True,,True
measurement_059,1250,3,True,,True
measurement_060,1248,5,True,,True
measurement_061,1249,4,True,,True
measurement_062,1249,4,True,,True
measurement_063,1249,4,True,,True
measurement_064,1248,5,True,,True
measurement_065,1248,5,True,,True
measurement_066,1248,5,True,,True
measurement_067,1249,4,True,,True
measurement_068,1249,4,True,,True
measurement_069,1249,4,True,,True
measurement_070,1249,4,False,constant_observed_in_training,True
measurement_071,1249,4,True,,True
measurement_072,1249,4,True,,True
measurement_073,619,634,True,,True
measurement_074,619,634,True,,True
measurement_075,1249,4,False,constant_observed_in_training,True
measurement_076,1231,22,True,,True
measurement_077,1231,22,True,,True
measurement_078,1231,22,True,,True
measurement_079,1231,22,True,,True
measurement_080,1231,22,True,,True
measurement_081,1231,22,True,,True
measurement_082,1231,22,True,,True
measurement_083,1231,22,True,,True
